id,Address,Response_Address,Response_X,Response_Y
0,»O¥_¥«¥_§ë¸ô¢±¬q¢°¢°¸¹¦a¤U¢°¼Ó,,,
3,¹ü¤Æ¿¤³À´äÂí´_¿³¸ô210¸¹,,,
4,ªá½¬¿¤ªá½¬¥«°êÁp¤G¸ô110¸¹,,,
5,ªá½¬¿¤¥É¨½Âí©M¥­¸ô92¸¹,,,
7,»O¤¤¥«Â×­ì°Ï¦¨¥\¸ô198¸¹,,,
8,»O¤¤¥«ªF°Ï¤j´¼¸ô¢²¢´¢¯«Ñ¢±¸¹¢°¼Ó,,,
9,»O¤¤¥«Ãú®p°Ï¥Á¥Í¸ô75¸¹1¼Ó,,,
11,»O¤¤¥«¨F³À°Ï¤j¦Pµó119-1¸¹1¼Ó,,,
13,»O«n¥«·sÀç°Ï´_¿³¸ô150-3¸¹1¼Ó,,,
14,»O«n¥«³Â¨§°Ï¤jÑL¨½³Õ·R¸ô7¸¹,,,
15,°ò¶©¥«¤C°ô°Ï«n¿³¸ô106¸¹,,,
17,»O¥_¥«¤º´ò°Ï´äáY¸ô127«Ñ10¸¹¦a¤U1¼h,,,
19,ªá½¬¿¤¥ú´_¶m¤¤¤s¸ô2¬q299-1¡B299-2¸¹1¼Ó,,,
20,»O¤¤¥«¦è¤Ù°Ï»OÆW¤j¹D¤G¬q799¸¹,,,
21,»O¤¤¥«¨F³À°Ï³À¼d¨½¤¤¤s¸ô434¸¹1¼Ó,,,
22,¶³ªL¿¤¤æ¤»¥«ªLÀY¨½²ø·q¸ô43¸¹,,,
23,¶³ªL¿¤ªê§ÀÂí¥ú´_¸ô503-8¸¹1¼Ó,,,
27,¹Å¸q¥«ªF°Ï§d»ñ«n¸ô529¸¹1¼Ó,,,
28,°ª¶¯¥«»ñ¤s°Ï¥ú´_¸ô107¸¹,,,
30,·s¥_¥«Äª¬w°Ï¤ôÙõµó¢¶¢³¸¹¢°¡B¢±¼Ó,,,
31,»O«n¥«Âk¤¯°Ï·s­í§ø6¾F´_¿³¸ô87¸¹1¼Ó,,,
32,»O¥_¥«¤¤¤s°Ï¦NªL¸ô213¡B215¡B217¡B219¸¹1¼Ó,,,
33,·s¥_¥«·s©±°Ï¥_·s¸ô2¬q252¸¹¦a¤U1¼h,,,
34,»O«n¥«¾Ç¥Ò°ÏµØ©v¸ô501¸¹,,,
35,®ç¶é¥«·¨±ö°Ï·ç·Ë¸ô2¬q161¡B163¸¹,,,
36,»O¤¤¥«¨F³À°ÏÂí«n¸ô2¬q46¸¹,,,
37,°ª¶¯¥«·£±ê°Ï¥k©÷µó543¸¹,,,
38,°ª¶¯¥«¤T¥Á°Ï¹©¤¤¸ô668¸¹1¼Ó¡B2¼Ó,,,
39,«n§ë¿¤°ê©m¶m¥Ûªù§ø¤¤¿³¸ô72¸¹¤Î¦¨¥\µó23¸¹,,,
40,»O«n¥«¥Ã±d°Ï¤¤¤s«n¸ô451¸¹,,,
41,»O«n¥««n°Ï®LªL¸ô71¸¹,,,
43,·s¦Ë¥«¥_°Ï«n¼d¨½¦èÀØ¸ô1¬q448¸¹,,,
44,·s¥_¥«·s²ø°Ï©¯ºÖ¸ô501¡B503¸¹,,,
45,·s¦Ë¥«¥_°ÏªZ³®¸ô157-1¸¹,,,
46,¹Å¸q¿¤¥Á¶¯¶m¤j¾Ç¸ô3¬q218¡B220¡B222¸¹,,,
47,«ÌªF¿¤¸UÅr¶m¸UÅr§ø½Ç©¾¸ô229-1¸¹,,,
49,­]®ß¿¤ÀY¥÷¥«¤¤µØ¸ô818¸¹,,,
50,»O«n¥«¤¯¼w°Ï¤¤²M¸ô167¡B169¸¹,,,
51,·s¥_¥«¤¤©M°Ï¥Á¼w¸ô187¸¹¦a¤U1¼h,,,
52,»O¤¤¥«¥Û©£°ÏÂ×¶Õ¸ô883¡B885¸¹,,,
53,°ò¶©¥«¦w¼Ö°Ï¼Ö§Q¤Tµó146¡B148¸¹,,,
54,»O¤¤¥«¤j¨½°Ï·sªÚ¸ô1¸¹,,,
55,·s¦Ë¿¤´ò¤f¶m»ñ°Ä§ø¥Á´Iµó26¸¹,,,
56,¶³ªL¿¤¤f´ò¶m´òªF§ø¤¤¥¿¸ô1¬q187¸¹,,,
57,°ª¶¯¥«»ñ¤s°Ï³»Â×µó21¡B23¡B25¡B27¸¹,,,
58,°ª¶¯¥«ºX¬z°Ï¤¤¬w¤G¸ô179-11¸¹,,,
60,»O¥_¥«¤¤¤s°ÏªQ¦¿¸ô318¸¹,,,
61,·s¦Ë¥«ªF°Ï¦Û¥Ñ¸ô95«Ñ38§Ë1¸¹,,,
62,®ç¶é¥«Às¼æ°Ï¤¤Â×¸ô293¡B295¡B297¡B299¡B301¡B303¸¹,,,
63,ª÷ªù¿¤ª÷´òÂí·s´ò¨½¶ð¦Z147¡B149¸¹,,,
64,­]®ß¿¤­b¸ÌÂí¥@¬É¸ô1¬q91-13¸¹,,,
65,·s¥_¥«ªO¾ô°Ï²÷¥ú¸ô217¸¹¦a¤U1¼Ó¤Î227¸¹¦a¤U1¼Ó,,,
66,¹Å¸q¿¤±ö¤s¶m±ö¥_§ø¤¤¤s¸ô332-5¸¹,,,
67,°ª¶¯¥«­XÛ_°Ï¤¯·R¸ô2¬q167¸¹,,,
68,®ç¶é¥«¤¤Ãc°Ï«á¿³¸ô1¬q168¸¹,,,
