縣市,7-11店數,OK店數,全家店數,全聯店數,萊爾富店數,便利商店合計店數,人口,面積,便利商店平均服務人數,每平方公里有多少家便利商店,200公尺內可以遇到幾家店
連江縣,11.0,0,2.0,0,0,13.0,13279,28.8,1021.4615384615385,0.4513888888888889,1.1927010311178559
金門縣,23.0,0,4.0,2.0,1.0,30.0,140597,151.656,4686.566666666667,0.19781611014401013,1.1025891693938685
澎湖縣,32.0,0,9.0,5.0,0,46.0,105952,126.8641,2303.304347826087,0.3625927271781379,1.4163716069399528
臺東縣,60.0,0,26.0,9.0,0,95.0,215261,3515.2526,2265.9052631578948,0.02702508491139442,1.1608944372095353
嘉義市,69.0,3.0,30.0,17.0,9.0,128.0,266005,60.0256,2078.1640625,2.1324234993069626,1.3963285197966042
花蓮縣,98.0,0,33.0,17.0,0,148.0,324372,4628.5714,2191.7027027027025,0.03197530883935376,1.2639967667824201
嘉義縣,100.0,4.0,38.0,16.0,17.0,175.0,499481,1903.6367,2854.177142857143,0.09192930562853721,1.1825372508877834
南投縣,101.0,15.0,46.0,23.0,13.0,198.0,490832,4106.436,2478.949494949495,0.04821699400648154,1.2119743704226316
宜蘭縣,110.0,18.0,57.0,23.0,13.0,221.0,453087,2143.6251,2050.1674208144796,0.10309638565064384,1.330615018730401
基隆市,84.0,57.0,54.0,20.0,10.0,225.0,367577,132.7589,1633.6755555555555,1.6948016291186503,1.8611685285311548
雲林縣,122.0,11.0,52.0,34.0,19.0,238.0,676873,1290.8326,2844.0042016806724,0.1843771221768028,1.2607823885177958
苗栗縣,138.0,18.0,67.0,21.0,33.0,277.0,542590,1820.3149,1958.8086642599278,0.1521714731885126,1.2965980919918811
屏東縣,162.0,8.0,62.0,35.0,28.0,295.0,812658,2775.6003,2754.772881355932,0.10628331464007984,1.2177678342601153
新竹市,137.0,8.0,75.0,19.0,56.0,295.0,451412,104.1526,1530.2101694915254,2.832382484930765,1.5678343490410551
新竹縣,177.0,35.0,77.0,27.0,54.0,370.0,570775,1427.5369,1542.6351351351352,0.25918769595377883,1.482389210284279
彰化縣,232.0,35.0,79.0,54.0,44.0,444.0,1266670,1074.396,2852.8603603603606,0.41325544771201683,1.2824687435388193
臺南市,502.0,8.0,170.0,94.0,45.0,819.0,1874917,2191.6531,2289.2759462759464,0.3736905261147396,1.3038451760362662
高雄市,619.0,45.0,259.0,121.0,104.0,1148.0,2765932,2951.8524,2409.348432055749,0.3889083343056041,1.5291279816731296
桃園市,679.0,108.0,286.0,90.0,241.0,1404.0,2268807,1220.954,1615.9594017094016,1.149920472024335,1.6415268204117164
臺中市,766.0,95.0,441.0,142.0,109.0,1553.0,2820787,2214.8968,1816.3470701867354,0.7011613362753515,1.5374829426937688
臺北市,858.0,57.0,526.0,129.0,161.0,1731.0,2602418,271.7997,1503.4188330444829,6.3686604510601015,2.864741530850611
新北市,1059.0,122.0,778.0,157.0,305.0,2421.0,4030954,2052.5667,1664.9954564229656,1.1794988196973089,2.325528645658823
